date,region,indicator,frequency,value
2015,Other OECD Europe,Liquids Production,Quarterly,
2019,Asia Pacific,Liquids Production,Quarterly,0.558424
2017,Asia Pacific,OECD onland commercial,Annual,50.7754891161074
2018,Asia Pacific,OECD onland commercial,Annual,51.5816025262509
2020,Asia Pacific,OECD onland commercial,Quarterly,59.7418969380134
2017,Asia Pacific,OECD SPR,Quarterly,55.1437157042069
2019,Asia Pacific,OECD SPR,Quarterly,55.2545671167593
2021,Other Asia Pacific,Liquids Production,Annual,0.066762701369863
2019,Other Asia Pacific,Liquids Production,Quarterly,0.074778
2016,Other Asia,Liquids Production,Annual,3.70779468306011
2015,Other Asia,Liquids Production,Quarterly,
2016,Other Asia,Liquids Production,Quarterly,
2018,Other Asia,Liquids Production,Quarterly,3.508928
2019,Brunei,Liquids Production,Quarterly,0.13197
2016,India,Liquids Production,Annual,0.852470051912568
2019,Thailand,Liquids Production,Annual,0.514287953424657
2019,Thailand,Liquids Production,Quarterly,0.518924
2020,Latin America,Demand,Quarterly,6.20366841116925
2015,Argentina,Liquids Production,Quarterly,
2018,Ecuador,Liquids Production,Annual,0.52599437260274
2015,Guyana,Liquids Production,Quarterly,
2015,Trinidad & Tobago,Liquids Production,Quarterly,
2021,Middle East,Demand,Annual,7.95371934940599
2015,Middle East,Demand,Quarterly,
2020,Middle East,Demand,Quarterly,7.73465656425866
2018,Middle East,Liquids Production,Annual,3.2065009369863
2021,Middle East,Liquids Production,Quarterly,3.200377
2021,Middle East,Liquids Production,Quarterly,3.231016
2019,Bahrain,Liquids Production,Quarterly,0.226315
2017,Oman,Liquids Production,Annual,0.970586449315068
2020,Oman,Liquids Production,Quarterly,0.91392
2021,Oman,Liquids Production,Quarterly,0.956731
2021,Oman,Liquids Production,Quarterly,0.962432
2021,Oman,Liquids Production,Quarterly,0.987133
2020,Qatar,Liquids Production,Quarterly,1.936
2021,Syria,Liquids Production,Quarterly,0.026527
2021,Yemen,Liquids Production,Quarterly,0.051085
2016,Africa,Liquids Production,Annual,1.50067599726776
2018,Cameroon,Liquids Production,Quarterly,
2020,Cameroon,Liquids Production,Quarterly,0.062422
2015,Chad,Liquids Production,Quarterly,
2021,Chad,Liquids Production,Quarterly,0.099668
2021,Egypt,Liquids Production,Quarterly,0.59661
2018,South Africa,Liquids Production,Annual,0.101295901369863
2016,Sudans,Liquids Production,Quarterly,
2021,Sudans,Liquids Production,Quarterly,0.177468
2019,Africa other,Liquids Production,Quarterly,0.131252
2015,Eurasia,Demand,Annual,4.58435144539713
2019,Eurasia,Demand,Quarterly,4.67699595078247
2020,Eurasia,Demand,Quarterly,5.2119122075515
2021,Eurasia,Demand,Quarterly,5.43399231709027
2017,Russia,Demand,Annual,3.47716383104594
2020,Russia,Demand,Quarterly,3.40138301085862
2021,Russia,Demand,Quarterly,3.36814688590451
2016,Azerbaijan,Liquids Production,Annual,0.849106663934426
2020,Azerbaijan,Liquids Production,Annual,0.729848819672131
2016,Azerbaijan,Liquids Production,Quarterly,
2021,Azerbaijan,Liquids Production,Quarterly,0.772173
2020,other Eurasia,Demand,Quarterly,1.00873491231727
2019,Other Europe,Demand,Annual,
2020,Other Europe,Demand,Annual,0.646875838236797
2016,China,Demand,Quarterly,
2018,China,Demand,Quarterly,12.6547730676992
2016,China,Liquids Production,Quarterly,
2021,China,Liquids Production,Quarterly,4.20289
2021,World,Balance (stock change and miscellaneous),Quarterly,-0.28478422693307
2018,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,
2021,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,27.6584350897805
2018,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,31.832767916487
2018,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,30.8929030838922
2021,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,28.6552009038323
2020,World,Oil-on-water,Quarterly,1148.4556376
2021,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.109314
2021,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.223314
2021,OPEC,OPEC Non-conventional,Annual,
2018,OPEC,OPEC Non-conventional,Quarterly,
2019,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,29.095165
2021,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,25.132298
2021,Non-OPEC,Liquids Production,Quarterly,64.296762
2015,OECD,Demand,Annual,46.5233068493151
2021,OECD,Demand,Annual,44.7205699622964
2015,OECD,Demand,Quarterly,
2018,OECD,Liquids Production,Quarterly,28.656124
2018,OECD,Liquids Production,Quarterly,29.472524
2017,OECD,"OECD closing stock levels, mb",Annual,
2020,OECD,Commercial,Quarterly,3177.008
2020,OECD,SPR,Annual,34.465459659827
2020,OECD,"Days of forward consumption in OECD, days",Quarterly,112.880572306965
2021,OECD,"Days of forward consumption in OECD, days",Quarterly,101.791577977282
2019,OECD,"Closing stock levels, mb",Quarterly,4431.544
2019,OECD,"Closing stock levels, mb",Quarterly,4486.065
2020,OECD,OECD SPR,Quarterly,36.106453790118
2019,Americas,Demand,Annual,25.6534520547945
2019,Americas,Demand,Quarterly,25.1350173165116
2020,Americas,Liquids Production,Quarterly,23.55349
2018,Americas,OECD SPR,Quarterly,25.4073533926927
2016,US,Demand,Annual,
2018,Canada,Liquids Production,Quarterly,5.485322
2020,Chile,Liquids Production,Annual,0.011450237704918
2021,Chile,Liquids Production,Quarterly,0.011217
2016,Mexico,Liquids Production,Annual,2.46454658469945
2020,Mexico,Liquids Production,Quarterly,1.983822
2018,Europe,Demand,Annual,
2021,Europe,Demand,Annual,
2021,Europe,Liquids Production,Quarterly,3.946544
2021,Europe,Liquids Production,Quarterly,3.736023
2021,Europe,Liquids Production,Quarterly,4.095979
2017,Europe,OECD onland commercial,Quarterly,66.9854257755569
2019,Europe,OECD onland commercial,Quarterly,70.1359216409965
2018,Europe,OECD SPR,Quarterly,34.2836768166583
2021,Norway,Liquids Production,Quarterly,2.170118
2020,Denmark,Liquids Production,Quarterly,0.096722
2016,Other OECD Europe,Liquids Production,Annual,0.67137274863388
2017,Other OECD Europe,Liquids Production,Annual,0.688400463013699
2018,Other OECD Europe,Liquids Production,Quarterly,0.729018
2018,Asia Pacific,Demand,Quarterly,8.54191281606631
2021,Asia Pacific,Demand,Quarterly,7.608
2017,Asia Pacific,OECD onland commercial,Quarterly,52.7385680689835
2017,Asia Pacific,OECD SPR,Annual,51.6953727316257
2018,Asia Pacific,OECD SPR,Annual,54.1726784934918
2020,Asia Pacific,OECD SPR,Quarterly,54.3684279705573
2018,Australia,Liquids Production,Annual,0.341367049315069
2019,Australia,Liquids Production,Annual,0.456537057534247
2020,Non-OECD,Liquids Production,Annual,
2020,Brunei,Liquids Production,Quarterly,0.101474
2016,India,Demand,Annual,
2019,Indonesia,Liquids Production,Quarterly,0.838002
2021,Indonesia,Liquids Production,Quarterly,0.872888
2015,Malaysia,Liquids Production,Annual,0.742011043835617
2020,Malaysia,Liquids Production,Quarterly,0.617079
2018,Thailand,Liquids Production,Quarterly,0.510924
2019,Vietnam,Liquids Production,Quarterly,0.216326
2015,Asia others,Liquids Production,Annual,0.263185043835616
2018,Asia others,Liquids Production,Quarterly,
2020,Latin America,Demand,Quarterly,5.60581374153016
2018,Latin America,Liquids Production,Quarterly,
2018,Latin America,Liquids Production,Quarterly,5.258937
2016,Argentina,Liquids Production,Quarterly,
2019,Argentina,Liquids Production,Quarterly,0.666285
2018,Brazil,Liquids Production,Quarterly,3.240091
2020,Colombia,Liquids Production,Annual,0.805380838797814
2020,Ecuador,Liquids Production,Annual,0.489535355191257
2015,Ecuador,Liquids Production,Quarterly,
2017,Guyana,Liquids Production,Annual,
2021,Guyana,Liquids Production,Quarterly,0.09713
2018,Trinidad & Tobago,Liquids Production,Annual,0.0871290356164384
2020,Trinidad & Tobago,Liquids Production,Annual,0.0954837213114754
2015,Middle East,Demand,Annual,
2020,Middle East,Liquids Production,Quarterly,3.147204
2018,Bahrain,Liquids Production,Annual,
2020,Oman,Liquids Production,Annual,0.949411950819672
2018,Qatar,Liquids Production,Quarterly,1.955777
2021,Syria,Liquids Production,Annual,0.0259259315068493
2020,Syria,Liquids Production,Quarterly,0.028888
2018,Yemen,Liquids Production,Annual,0.0453561068493151
2018,Yemen,Liquids Production,Annual,
2018,Africa,Liquids Production,Annual,
2019,Africa,Liquids Production,Annual,
2021,Cameroon,Liquids Production,Quarterly,0.069265
2021,Cameroon,Liquids Production,Quarterly,0.050476
2018,Chad,Liquids Production,Quarterly,
2015,Egypt,Liquids Production,Quarterly,
2020,Egypt,Liquids Production,Quarterly,0.638092
2019,Ghana,Liquids Production,Annual,0.199427490410959
2021,Ghana,Liquids Production,Annual,0.18163424109589
2018,Ghana,Liquids Production,Quarterly,
2020,Ghana,Liquids Production,Quarterly,0.214883
2021,Africa other,Liquids Production,Annual,0.114426312328767
2019,Eurasia,Demand,Annual,
2015,Eurasia,Demand,Quarterly,
2016,Eurasia,Liquids Production,Quarterly,
2021,Eurasia,Liquids Production,Quarterly,0.353983
2017,Russia,Demand,Annual,
2021,Russia,Demand,Annual,3.56125854845017
2018,Russia,Liquids Production,Quarterly,
2019,Kazakhstan,Liquids Production,Annual,
2020,Kazakhstan,Liquids Production,Quarterly,1.630175
2020,Kazakhstan,Liquids Production,Quarterly,1.688334
2015,other Eurasia,Demand,Quarterly,
2019,other Eurasia,Liquids Production,Annual,3.07261427123288
2021,other Eurasia,Liquids Production,Quarterly,2.982597
2020,World,Demand,Annual,
2021,World,Demand,Quarterly,92.9339772269331
2021,World,Demand,Quarterly,99.8203631396975
2017,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,
2021,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,68.9196852986301
2021,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,67.516895
2015,World,Balance (stock change and miscellaneous),Quarterly,
2021,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,
2017,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,
2015,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,31.240434
2017,OECD,Demand,Annual,
2018,OECD,Demand,Annual,47.9931205479452
2021,OECD,Demand,Annual,
2018,OECD,Demand,Quarterly,48.1578119700058
2017,OECD,Liquids Production,Annual,25.7303892630137
2015,OECD,Liquids Production,Quarterly,
2020,OECD,Liquids Production,Quarterly,28.427568
2018,OECD,"OECD closing stock levels, mb",Annual,4426.925
2015,OECD,"OECD closing stock levels, mb",Quarterly,
2019,OECD,"OECD closing stock levels, mb",Quarterly,4435.359
2019,OECD,Commercial,Annual,2889.322
2016,OECD,SPR,Quarterly,
2018,OECD,SPR,Quarterly,33.3060620738636
2017,OECD,"Days of forward consumption in OECD, days",Quarterly,98.3818042748481
2017,OECD,"Days of forward consumption in OECD, days",Quarterly,94.4135711467785
2021,OECD,"Days of forward consumption in OECD, days",Quarterly,
2016,OECD,Commercial onland stocks,Quarterly,
2018,OECD,Commercial onland stocks,Quarterly,58.4125108220901
2020,OECD,OECD onland commercial,Annual,
2018,Americas,Liquids Production,Annual,
2021,Americas,Liquids Production,Quarterly,24.639538
2019,Americas,OECD onland commercial,Annual,67.2709156403706
2021,Americas,OECD onland commercial,Quarterly,64.3170672411277
2015,Canada,Liquids Production,Annual,4.42084655616438
2017,Chile,Liquids Production,Quarterly,
2019,Mexico,Liquids Production,Quarterly,1.934206
2016,Europe,Demand,Annual,14.0365163934426
2016,Europe,Liquids Production,Quarterly,
2020,Europe,OECD onland commercial,Annual,
2016,Europe,OECD onland commercial,Quarterly,
2016,Europe,OECD SPR,Quarterly,
2021,Europe,OECD SPR,Quarterly,38.7857520267383
2016,Norway,Liquids Production,Quarterly,
2019,UK,Liquids Production,Quarterly,1.160558
2020,UK,Liquids Production,Quarterly,1.038975
2020,Other OECD Europe,Liquids Production,Annual,
2020,Other OECD Europe,Liquids Production,Quarterly,0.707682
2020,Asia Pacific,Liquids Production,Quarterly,0.523053
2019,Asia Pacific,OECD onland commercial,Quarterly,51.7614508869473
2020,Asia Pacific,OECD SPR,Quarterly,62.1874533233757
2017,Non-OECD,Demand,Annual,
2018,Non-OECD,Liquids Production,Annual,
2018,Non-OECD,Liquids Production,Quarterly,13.502835
2020,Other Asia,Demand,Quarterly,8.10879480554819
2017,Other Asia,Liquids Production,Annual,
2020,Other Asia,Liquids Production,Annual,
2021,Brunei,Liquids Production,Quarterly,0.098824
2021,India,Demand,Quarterly,4.94286055420732
2021,India,Demand,Quarterly,4.52356818702746
2021,Indonesia,Liquids Production,Annual,
2020,Indonesia,Liquids Production,Quarterly,0.84465
2021,Malaysia,Liquids Production,Quarterly,0.602775
2021,Thailand,Liquids Production,Quarterly,0.462816
2018,Vietnam,Liquids Production,Quarterly,0.241693
2017,Latin America,Liquids Production,Annual,
2019,Latin America,Liquids Production,Quarterly,5.175137
2017,Argentina,Liquids Production,Annual,
2020,Argentina,Liquids Production,Annual,0.664118349726776
2016,Brazil,Liquids Production,Quarterly,
2018,Brazil,Liquids Production,Quarterly,
2018,Brazil,Liquids Production,Quarterly,3.340491
2020,Colombia,Liquids Production,Annual,
2015,Guyana,Liquids Production,Annual,
2016,Trinidad & Tobago,Liquids Production,Quarterly,
2021,Latin America others,Liquids Production,Annual,0.345562750684932
2019,Latin America others,Liquids Production,Quarterly,0.251348
2020,Bahrain,Liquids Production,Annual,0.218075792349727
2016,Bahrain,Liquids Production,Quarterly,
2017,Qatar,Liquids Production,Annual,1.89693153424658
2017,Qatar,Liquids Production,Quarterly,
2021,Syria,Liquids Production,Quarterly,0.027708
2017,Cameroon,Liquids Production,Quarterly,
2021,Chad,Liquids Production,Annual,
2020,Egypt,Liquids Production,Annual,0.618200199453552
2015,Ghana,Liquids Production,Quarterly,
2019,Sudans,Liquids Production,Annual,
2019,Sudans,Liquids Production,Quarterly,0.233915
2020,Sudans,Liquids Production,Quarterly,0.187747
2017,Africa other,Liquids Production,Quarterly,
2016,Eurasia,Demand,Quarterly,
2017,Eurasia,Demand,Quarterly,
2021,Russia,Demand,Quarterly,3.73557364068557
2018,Kazakhstan,Liquids Production,Quarterly,
2015,Azerbaijan,Liquids Production,Annual,0.860109673972603
2020,Azerbaijan,Liquids Production,Annual,
2019,Azerbaijan,Liquids Production,Quarterly,0.777176
2021,other Eurasia,Demand,Quarterly,1.18932029166667
2015,Other Europe,Liquids Production,Quarterly,
2017,Other Europe,Liquids Production,Quarterly,
2019,China,Demand,Annual,
2021,China,Demand,Quarterly,14.9308822481606
2021,China,Liquids Production,Annual,
2018,China,Liquids Production,Quarterly,3.968546
2020,China,Liquids Production,Quarterly,4.084363
2020,World,Demand,Quarterly,91.4316015278801
2019,World,Liquids Production,Annual,99.9805873890411
2017,World,Liquids Production,Quarterly,
2017,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,
2020,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,66.483008
2020,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,
2019,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,28.8242248721526
2021,World,Oil-on-water,Annual,
2019,World,Oil-on-water,Quarterly,1011.4556376
2017,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,
2015,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,
2019,Non-OPEC,Liquids Production,Annual,
2020,Non-OPEC,Liquids Production,Annual,
2020,Non-OPEC,Liquids Production,Quarterly,62.261751
2019,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,
2016,OECD,Demand,Quarterly,
2021,OECD,Demand,Quarterly,45.520449427741
2018,OECD,Liquids Production,Annual,
2021,OECD,Liquids Production,Annual,
2019,OECD,"OECD closing stock levels, mb",Quarterly,4487.129
2020,OECD,"OECD closing stock levels, mb",Quarterly,4773.155
2021,OECD,"OECD closing stock levels, mb",Quarterly,
2020,OECD,Commercial,Annual,
2020,OECD,SPR,Quarterly,40.9295508400117
2019,OECD,Oil-on-water,Annual,
2021,OECD,Oil-on-water,Annual,
2017,OECD,Oil-on-water,Quarterly,
2021,OECD,Oil-on-water,Quarterly,
2018,OECD,Commercial onland stocks,Annual,
2021,OECD,Commercial onland stocks,Annual,
2019,OECD,Commercial onland stocks,Quarterly,61.0529013858989
2020,OECD,Commercial onland stocks,Quarterly,70.9890115028523
2017,OECD,"Closing stock levels, mb",Quarterly,4607.653
2017,OECD,OECD onland commercial,Quarterly,59.515474431286
2018,OECD,OECD SPR,Quarterly,32.64122089232
2021,Americas,Demand,Quarterly,24.7448079441778
2018,Americas,OECD onland commercial,Quarterly,56.533120970218
2018,Americas,OECD SPR,Annual,25.9705009125851
2018,Americas,OECD SPR,Annual,
2021,Americas,OECD SPR,Annual,
2017,US,Demand,Annual,20.2726712328767
2020,US,Demand,Quarterly,18.67
2020,US,Demand,Quarterly,19.041
2015,US,Liquids Production,Annual,14.0566683315069
2018,US,Liquids Production,Quarterly,
2017,Canada,Liquids Production,Quarterly,
2018,Chile,Liquids Production,Annual,
2021,Chile,Liquids Production,Quarterly,0.01103
2017,Mexico,Liquids Production,Annual,
2017,Europe,Demand,Annual,
2019,Europe,Demand,Annual,
2021,Europe,OECD onland commercial,Quarterly,
2017,Europe,OECD SPR,Quarterly,33.8547743966422
2017,Europe,OECD SPR,Quarterly,32.8831477457903
2018,Europe,OECD SPR,Quarterly,33.3423968458976
2015,Norway,Liquids Production,Quarterly,
2021,UK,Liquids Production,Annual,0.994042898630137
2020,UK,Liquids Production,Quarterly,1.136328
2019,Denmark,Liquids Production,Quarterly,0.086663
2017,Asia Pacific,Demand,Quarterly,
2017,Asia Pacific,Liquids Production,Annual,
2017,Asia Pacific,Liquids Production,Quarterly,
2020,Asia Pacific,Liquids Production,Quarterly,0.537469
2021,Asia Pacific,Liquids Production,Quarterly,0.555194
2017,Asia Pacific,OECD onland commercial,Annual,
2021,Asia Pacific,OECD onland commercial,Quarterly,
2016,Australia,Liquids Production,Quarterly,
2017,Australia,Liquids Production,Quarterly,
2020,Australia,Liquids Production,Quarterly,0.460627
2016,Other Asia Pacific,Liquids Production,Annual,0.0756392786885246
2017,Other Asia Pacific,Liquids Production,Annual,
2019,Other Asia Pacific,Liquids Production,Annual,
2018,Non-OECD,Demand,Annual,
2020,Non-OECD,Liquids Production,Annual,31.6566338251366
2019,Non-OECD,Liquids Production,Quarterly,14.279704
2019,Other Asia,Demand,Annual,
2020,Other Asia,Demand,Annual,8.13186400758312
2015,Other Asia,Demand,Quarterly,
2021,Other Asia,Demand,Quarterly,8.58778304426527
2018,Other Asia,Liquids Production,Quarterly,3.514728
2017,India,Liquids Production,Annual,
2017,Indonesia,Liquids Production,Annual,
2020,Indonesia,Liquids Production,Annual,
2015,Malaysia,Liquids Production,Quarterly,
2017,Malaysia,Liquids Production,Quarterly,
2017,Vietnam,Liquids Production,Annual,
2019,Vietnam,Liquids Production,Annual,
2021,Vietnam,Liquids Production,Annual,
2017,Vietnam,Liquids Production,Quarterly,
2021,Vietnam,Liquids Production,Quarterly,0.218508
2021,Asia others,Liquids Production,Annual,
2019,Latin America,Demand,Quarterly,
2016,Latin America,Liquids Production,Quarterly,
2020,Argentina,Liquids Production,Annual,
2018,Argentina,Liquids Production,Quarterly,
2017,Brazil,Liquids Production,Annual,
2019,Brazil,Liquids Production,Annual,3.55659746575342
2019,Brazil,Liquids Production,Quarterly,3.659746
2020,Brazil,Liquids Production,Quarterly,3.522202
2019,Colombia,Liquids Production,Annual,
2018,Colombia,Liquids Production,Quarterly,
2017,Ecuador,Liquids Production,Annual,
2020,Ecuador,Liquids Production,Annual,
2020,Trinidad & Tobago,Liquids Production,Annual,
2020,Trinidad & Tobago,Liquids Production,Quarterly,0.096099
2018,Latin America others,Liquids Production,Quarterly,
2019,Middle East,Demand,Annual,8.20125514733802
2021,Middle East,Demand,Quarterly,7.66781652991491
2021,Middle East,Demand,Quarterly,8.24275211038355
2019,Middle East,Liquids Production,Quarterly,3.214974
2020,Middle East,Liquids Production,Quarterly,3.198139
2021,Bahrain,Liquids Production,Quarterly,0.199219
2020,Oman,Liquids Production,Annual,
2018,Oman,Liquids Production,Quarterly,
2019,Qatar,Liquids Production,Annual,
2018,Qatar,Liquids Production,Quarterly,1.957777
2018,Syria,Liquids Production,Annual,0.0275808
2018,Syria,Liquids Production,Annual,
2021,Syria,Liquids Production,Annual,
2018,Syria,Liquids Production,Quarterly,
2019,Yemen,Liquids Production,Annual,0.044
2021,Yemen,Liquids Production,Annual,
2017,Africa,Demand,Quarterly,
2018,Africa,Demand,Quarterly,
2020,Africa,Demand,Quarterly,4.36510943909529
2021,Africa,Demand,Quarterly,3.96336381551154
2020,Africa,Liquids Production,Quarterly,1.457668
2016,Chad,Liquids Production,Quarterly,
2018,Chad,Liquids Production,Quarterly,0.116137
2017,Egypt,Liquids Production,Annual,0.661528906849315
2018,Egypt,Liquids Production,Annual,
2019,Egypt,Liquids Production,Annual,0.654717980821918
2019,Egypt,Liquids Production,Quarterly,0.663811
2021,Ghana,Liquids Production,Annual,
2017,Ghana,Liquids Production,Quarterly,
2017,South Africa,Liquids Production,Annual,
2019,South Africa,Liquids Production,Annual,
2020,Sudans,Liquids Production,Annual,
2021,Sudans,Liquids Production,Quarterly,0.230394
